Name|Vintage|Grade|Review|Author|Attr_1,Attr_2,...,Attr_n-1,Attr_n,|Price|Country|Region|IssueDate
M. CHAPOUTIER Ermitage White de l'Orée|2006|97|Very rich, with nearly oily texture and ripe, slightly smoky notes of mango, creamed peach, guava and melon. Long and creamy through the finish, with a buried stony minerality that helps stretch it out. There's more power now, so let this assimilate fully in the cellar. Best from 2010 through 2025. 967 cases made.|–JM|PEACH,MANGO,MELON,SMOKE,MINERAL,CREAM,POWER,RICH,RIPE,TEXTURE,|205|France|Northern Rhône|Jul 31, 2008
M. CHAPOUTIER Ermitage White Le Méal|2006|97|Powerful—and slightly bass heavy for now—with apricot, peach and persimmon notes leading the way, followed by alluring piecrust, salted butter, yellow apple and mineral notes that stretch out the finish. Needs a little time to come together fully, but then should cruise in the cellar. Best from 2010 through 2025. 682 cases made.|–JM|APPLE,APRICOT,BUTTER,MINERAL,ALLURING,|245|France|Northern Rhône|Jul 31, 2008
M. CHAPOUTIER St.-Joseph White Les Granits|2006|95|Really powerful, but beautifully framed and balanced, with tropical mango, papaya and melon fruit flavors gliding over floral, macadamia nut, glazed yellow apple and mineral notes. The long, pure finish just sails on. Drink now through 2018. 639 cases made.|–JM|EXCELLENT FINISH,APPLE,MANGO,MELON,MINERAL,FLORAL,BALANCE,BEAUTY,LONG,POWER,|70|France|Northern Rhône|Jul 31, 2008
CHATEAU STE. MICHELLE White Riesling Columbia Valley Late Harvest Ethos|2006|97|Has amazing balance and depth, splaying out its lime-scented apricot and honey flavors, then pulling it all together into a tremendously long, exquisitely balanced finish that hints at all sorts of spice and floral notes. An utterly seamless wine that has the balance to age gracefully. Drink now through 2026. 375 cases made.|–HS|EXCELLENT FINISH,APRICOT,HONEY,FLORAL,SPICE,BALANCE,DEPTH,GRACE,LONG,SEAMLESS,|40|Washington|Washington|Mar 31, 2008
JEAN-LOUIS CHAVE Hermitage White|2006|99|Intense, rich and remarkably focused, this offers stunning purity of fruit, such as Jonagold apple and Cavaillon melon, along with enticing heather honey, roasted macadamia nut, orange blossom and dried persimmon notes, all laid over a dense but brilliantly defined palate. The nearly endless finish of beeswax and buttered brioche is absolutely fantastic. Drink now or hold for a decade. Perhaps the best white produced here to date. Best after 2019. 1,050 cases made.|–JM|ORANGE BLOSSOM,APPLE,MELON,FRUIT,HONEY,BRIOCHE,DENSE,WHITE,ENTICING,FOCUSED,INTENSE,PURITY,STUNNING,|240|France|Northern Rhône|Oct 15, 2009
DOMAINE DE CHEVALIER Pessac-Léognan White|2006|95|Very tight and powerful, with lemon curd, honey, honeysuckle, vanilla bean and light toasty oak. Full-bodied, with a powerful layered palate. Superlong and rich. This goes on for minutes. Amazing what develops in the glass. Best after 2013.|–JS|LEMON CURD,TOASTY OAK,VANILLA,HONEYSUCKLE,LIGHT-BODIED,LAYERS,POWER,RICH,TIGHT,|75|France|Bordeaux|Mar 31, 2009
CLOS DES PAPES Châteauneuf-du-Pape White|2006|95|Supertight and pure, with blanched almond, star fruit, acacia and lemon verbena notes all gliding along a bright, minerally frame. Lingering hints of orange blossom, honeysuckle and lime add further complexity. Should age beautifully. Drink now through 2017. 830 cases made.|–JM|ORANGE BLOSSOM,LEMON,LIME,FRUIT,ALMOND,MINERAL,BEAUTY,BRIGHT,COMPLEX,PURE,|80|France|Southern Rhône|Dec 31, 2007
CÔTE BONNEVILLE Cabernet Sauvignon Yakima Valley|2006|96|Supple, velvety and elegant, this shows hidden reserves of power, unfurling its plum, currant, blackberry, bay leaf and peppery cream aromas and flavors on a refined frame. The finish goes on and on, and the flavors keep glowing. Drink now through 2020. 40 cases made.|–HS|LONG FINISH,BAY LEAF,BLACKBERRY,CURRANT,PLUM,ELEGANT,POWER,SUPPLE,|200|Washington|Washington|Oct 15, 2009
CÔTE BONNEVILLE DuBrul Vineyard Yakima Valley|2006|95|Polished, round and focused, with a vibrant feel to the ripe black cherry, cassis, peach, herb and tar flavors, hinting at cocoa and spice as it all lingers harmoniously against velvety tannins. This has power but also refinement. Cabernet Sauvignon and Merlot. Best from 2012 through 2016. 500 cases made.|–HS|BLACK CHERRY,PEACH,COCOA,TAR,SPICE,TANNINS,ROUND,FOCUSED,HARMONY,POLISHED,POWER,RIPE,VELVETY,VIBRANT,|120|Washington|Washington|Dec 15, 2010
GORMAN Syrah-Cabernet Sauvignon Red Mountain The Evil Twin|2006|95|Big, ripe and explosive in flavor, bursting with energy that carries the ripe black cherry, dark plum and array of sweet spices through the long, surprisingly deft and polished finish. The finish lasts and lasts. Drink now through 2016. 225 cases made.|–HS|BLACK CHERRY,SWEET SPICE,PLUM,DEFT,LONG,POLISHED,RIPE,|55|Washington|Washington|Feb 28, 2009
E. GUIGAL Ermitage White Ex Voto|2006|95|A touch extreme, as this is very toasty in style, with lots of butter, grilled hazelnut and peach cobbler aromas and flavors. Really powerful, with a broad and muscular palate. Yet there's impressive drive and length, with solid cut thanks to invigorating bitter almond and orange peel notes buried deep. Best after 2016. 625 cases made.|–JM|ORANGE PEEL,PEACH,ALMOND,HAZELNUT,BUTTER,TOASTY,SOLID,BROAD,DEEP,IMPRESSIVE,LENGTH,MUSCLE,POWER,STYLE,|200|France|Northern Rhône|Oct 15, 2009
CHÂTEAU HAUT-BRION Pessac-Léognan White|2006|95|What a nose, with fresh pineapple, mineral, toasty oak, apricot and other fresh fruits. Full and very structured, with a tight yet thick mouthfeel. Long and flavorful. Really hiding it now, but it's all there. Best after 2011. 500 cases made.|–JS|TOASTY OAK,PINEAPPLE,WELL-STRUCTURED,FLAVORFUL,FRESH,LONG,TIGHT,|530|France|Bordeaux|Mar 31, 2009
K Syrah Walla Walla Valley Cougar Hills|2006|95|Big, dense and complex, this red hits hard, then backs off, leaving a trail of plum, blackberry, black olive, smoke and mineral flavors that linger. Tannins are present and crisp, but don't get in the way. Best from 2012 through 2018. 260 cases made.|–HS|BLACK OLIVE,BLACKBERRY,PLUM,TANNINS,DENSE,RED,COMPLEX,CRISP,LINGER,|50|Washington|Washington|Jul 31, 2009
DR. LOOSEN Riesling Auslese Gold Cap Mosel-Saar-Ruwer Wehlener Sonnenuhr|2006|95|Citrus-flavored jujube, honey, apricot and a touch of stone mark this intense, sleek Riesling. This has a lot of flavor and personality—not to mention sense of place—packed into its delicate frame. Has terrific length as well. Best from 2012 through 2035. 150 cases imported.|–BS|APRICOT,HONEY,DELICATE,INTENSE,LENGTH,|42|Germany|Germany|Apr 30, 2008
DR. LOOSEN Riesling Trockenbeerenauslese Gold Cap Mosel Wehlener Sonnenuhr|2006|95|Light yet intense, this TBA oozes apricot, lime jelly, honey and spice flavors. The refined structure acts as a counterpoint, creating balance and a clean, mouthwatering finish, with a fine, apricot-infused aftertaste. Drink now through 2045. 100 cases imported.|–BS|EXCELLENT FINISH,LIME,APRICOT,SPICE,LIGHT-BODIED,WELL-STRUCTURED,BALANCE,CLEAN,FINE,INTENSE,|49|Germany|Germany|Apr 30, 2009
DR. LOOSEN Riesling Beerenauslese Gold Cap Mosel Ürziger Würzgarten|2006|97|A creamy, seamless version of sweetness, featuring vanilla pastry, honey, coconut and Key lime pie flavors. Surprisingly light, given its intense ripeness, with a fresh, lingering aftertaste of citrus and honey. Drink now through 2043. 25 cases made.|–BS|KEY LIME PIE,LONG FINISH,CITRUS,HONEY,VANILLA,CREAM,LIGHT-BODIED,FRESH,INTENSE,SWEET,|114|Germany|Germany|Web Only - 2010
MAYBACH Cabernet Sauvignon Oakville Materium Weitz Vineyard|2006|96|An amazing wine, smooth, rich and layered, full-bodied and elegant. Delivers a complex mix of supple currant and blackberry, with touches of anise, cedar and mineral that unfold on the palate, offering extra dimensions of complexity and nuance at every turn. The finish is delightful. Best from 2010 through 2017. 525 cases made.|–JL|BLACKBERRY,CURRANT,CEDAR,MINERAL,ANISE,FULL-BODIED,COMPLEX,COMPLEX,ELEGANT,LAYERS,NUANCE,RICH,SMOOTH,SUPPLE,|110|California|Napa|Oct 15, 2009
WILLI OPITZ Pinot Gris Trockenbeerenauslese Neusiedlersee|2006|95|A luscious sweetie, with layers of baked apple, piecrust, peach cobbler and apricot flavors. Oozes cream and spice on the long, fresh, enveloping finish. Stunningly rich and flavorful. Drink now through 2025. 75 cases made.|–KM|APPLE,APRICOT,PEACH,CREAM,SPICE,FLAVORFUL,FRESH,LAYERS,LONG,LUSCIOUS,RICH,|114|Austria|Burgenland|Jun 15, 2008
F.X. PICHLER Riesling Smaragd Trocken Wachau Dürnsteiner Kellerberg|2006|95|A seductive creaminess is draped over lush, ripe and rich flavors of pear, peach, apricot and tropical fruits. Shows a sense of elegance and refinement as well, with a concentrated and well-structured finish of mineral and hickory smoke. Drink now through 2020. 833 cases made.|–KM|APRICOT,PEACH,PEAR,SMOKE,MINERAL,CONCENTRATED,WELL-STRUCTURED,ELEGANT,LUSH,RICH,|90|Austria|Niederösterreich|May 31, 2008
PRAGER Riesling Smaragd Trocken Wachau Klaus|2006|95|Lithe, powerfully concentrated flavors of grapefruit, orange peel, ginger and spice are backed up by a firm structure and crisp, balanced acidity. An intense minerality carries through to the long, citrus-filled finish. Put this away for a few years. Best from 2010 through 2020. 309 cases made.|–KM|ORANGE PEEL,GRAPEFRUIT,MINERAL,SPICE,CONCENTRATED,WELL-STRUCTURED,ACIDITY,BALANCE,CRISP,FIRM,LONG,|61|Austria|Niederösterreich|May 31, 2008
S.A. PRÜM Riesling Trockenbeerenauslese Mosel Wehlener Sonnenuhr Vat 50|2006|95|A fruity style, offering a rich amber color and lip-smacking flavors of apricot and peach, with coconut and cream. This has a mouthfilling spiciness, with an unctuous viscosity that lingers on the finish. Drink now through 2040. 24 cases made.|–KM|APRICOT,PEACH,FRUIT,CREAM,RICH,|440|Germany|Germany|Web Only - 2011
CHARLES SMITH Syrah Columbia Valley Royal City Stoneridge Vineyard|2006|97|A majestic wine, smooth, round and profuse with its blueberry, plum and black currant fruit, nicely wrapped in fine tannins and shaded with hints of white pepper and roasted meat. Big and profound, but not extra-weighty. Complex and beautifully balanced. Best from 2011 through 2017. 500 cases made.|–HS|BLACK CURRANT,WHITE PEPPER,TANNINS,BLUEBERRY,ROUND,BALANCE,BEAUTY,COMPLEX,NICE,SMOOTH,|100|Washington|Washington|Web Only - 2010
J. WEGELER ERBEN Riesling Trockenbeerenauslese Rheingau Geisenheimer Rothenberg|2006|95|Delicious honey and butterscotch tones mark this luscious, elegant TBA. Apricot, orange peel and spice notes add depth and complexity. Lovely harmony. Melts in the mouth. Drink now through 2050. 10 cases made.|–BS|ORANGE PEEL,APRICOT,BUTTERSCOTCH,HONEY,COMPLEX,DELICIOUS,DEPTH,ELEGANT,HARMONY,LUSCIOUS,|400|Germany|Germany|Web Only - 2008
ROBERT WEIL Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg|2006|95|The aroma is sweaty, but this is intense and concentrated on the palate. Dried apricot, honey, hard lemon candy and orange marmalade notes prevail, and this gets silky, fading gracefully and leaving an apricot essence. Drink now through 2050. 1 cases imported.|–BS|LEMON,ORANGE,APRICOT,SWEATY,CONCENTRATED,GRACE,INTENSE,SILKY,|640|Germany|Germany|Web Only - 2008
ANDREW WILL Sorella Horse Heaven Hills|2005|95|Impressive for its purity of flavors and generosity. This gorgeous red fills the mouth with rich black cherry, blackberry and hints of cedar and sweet spices, waxing and persisting on an expressive finish that goes on and on. Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot. Best from 2009 through 2017. 805 cases made.|–HS|BLACK CHERRY,SWEET SPICE,EXCELLENT FINISH,CEDAR,RED,GORGEOUS,IMPRESSIVE,PURITY,RICH,|68|Washington|Washington|Jul 31, 2008
CHÂTEAU DE BEAUCASTEL Châteauneuf-du-Pape White Vieilles Vignes|2005|95|Powerful, with lush layers of mango, papaya and fig, but it's all kept bright and pure, with additional stone fruit, mineral and salted butter notes underneath. The superlong finish just lets the power and grace hang together beautifully. Drink now through 2020. 500 cases made.|–JM|MANGO,FIG,FRUIT,BUTTER,BEAUTY,BRIGHT,GRACE,LAYERS,LUSH,POWER,POWER,PURE,|161|France|Southern Rhône|Web Only - 2008
C.H. BERRES Riesling Trockenbeerenauslese Gold Cap Mosel-Saar-Ruwer Ürziger Würzgarten|2005|97|Shows an intense lemon candy flavor, with hints of caramel, spice and a sweetness offset by tangy acidity. Elegant, fresh and beautifully balanced, with a long finish. Drink now through 2040. 10 cases made.|–BS|LONG FINISH,LEMON,SPICE,ACIDITY,BALANCE,BEAUTY,FRESH,INTENSE,SWEET,|145|Germany|Germany|Apr 30, 2007
DR. BÜRKLIN-WOLF Riesling Beerenauslese Pfalz Wachenheimer Gerümpel|2005|95|Ruby grapefruit, passion fruit and red currant emerge in this racy BA. Deftly balanced, leaving a mouthwatering impression on the finish. Bring on the foie gras. Best from 2009 through 2040. 11 cases made.|–BS|PASSION FRUIT,GRAPEFRUIT,CURRANT,BALANCE,MOUTHWATERING,RACY,|140|Germany|Germany|Apr 30, 2007
CAYUSE Syrah Walla Walla Valley Bionic Frog|2005|95|Lithe, focused and generous with its blackberry, cherry and exotic spice flavors, picking up a stony minerality as the finish turns silky and refined. Each sip turns the wine in a slightly different direction, suggesting this will develop remarkable complexity as it ages. Best from 2010 through 2017. 386 cases made.|–HS|BLACKBERRY,MINERAL,SPICE,COMPLEX,DEVELOP,FOCUSED,GENEROUS,SILKY,|70|Washington|Washington|Jun 30, 2008
M. CHAPOUTIER Ermitage White L'Ermite|2005|97|Very rich, but racy and well-focused, with a great minerally underpinning to the fresh butter, chamomile, yellow apple, anise, jasmine rice, hazelnut and fresh chanterelle notes. Long, creamy finish. Best from 20210 through 2025. 250 cases made.|–JM|APPLE,HAZELNUT,BUTTER,MINERAL,CREAM,FRESH,LONG,RACY,RICH,|335|France|Northern Rhône|Jun 15, 2008
M. CHAPOUTIER Ermitage White Le Méal|2005|97|Superdense, with lots of bass showing now--anise, fennel seed, cardamom, glazed pear and fig--but there's still plenty of minerality behind it all, with a long, salted butter finish that just won't quit. Best from 2010 through 2025. 499 cases made.|–JM|PEAR,CARDAMOM,BUTTER,MINERAL,LONG,|210|France|Northern Rhône|Jun 15, 2008
M. CHAPOUTIER Ermitage White de l'Orée|2005|96|Gushes with creamy-textured, superripe layers of fig, green almond, pear and Cavaillon melon, all carried by well-embedded acidity. The long, driving finish pumps out additional hints of mango and green plum. Best from 2010 through 2025. 770 cases made.|–JM|MANGO,MELON,PEAR,PLUM,FIG,ALMOND,ACIDITY,LAYERS,LONG,|210|France|Northern Rhône|Jun 15, 2008
CHATEAU STE. MICHELLE-DR. LOOSEN Riesling Columbia Valley Eroica Single Berry Select|2005|98|Rich, silky and polished, offering a plush, exotic mouthful of honey, pear, quince, orange marmalade and pineapple, with whiffs of mayflower swirling through the flavors, persisting impossibly long on the finish. This is deftly balanced with acidity to keep it from being too syrupy. Drink now through 2020. 75 cases made.|–HS|ORANGE,QUINCE,PEAR,HONEY,ACIDITY,BALANCE,LONG,PLUSH,POLISHED,RICH,|200|Washington|Washington|Web Only - 2009
JEAN-LOUIS CHAVE Hermitage White|2005|98|Dense and packed, but amazingly bright at the same time, this offers dried papaya and pineapple fruit backed by a paraffin note, with fresh floral, white peach and heather honey notes. Then the long, superstony finish takes over, and sails on nearly endlessly. This has power, precision and refinement all together. Drink now through 2030. 1,200 cases made.|–JM|WHITE PEACH,PINEAPPLE,HONEY,FLORAL,DENSE,BRIGHT,FRESH,LONG,POWER,|245|France|Northern Rhône|Jul 31, 2008
DOMAINE DE CHEVALIER Pessac-Léognan White|2005|97|Displays lemon, honey, mineral, fennel seed and lime aromas. Full-bodied, this fills the mouth with lime, apple tart and vanilla character. Very, very intense. Fantastic. Needs time to come together. The best white from this estate in a long time. Best after 2014. 2,080 cases made.|–JS|LEMON,LIME,APPLE,VANILLA,MINERAL,FULL-BODIED,WHITE,INTENSE,LONG,|86|France|Bordeaux|Mar 31, 2008
JOH. JOS. CHRISTOFFEL ERBEN Riesling Spätlese* Mosel-Saar-Ruwer Ürziger Würzgarten|2005|95|Beautifully balanced and elegant, this offers the richness of 2005 and the raciness of Mosel Riesling. There are layers of lime, peach, vanilla cream and mineral, and the profile changes like a chameleon. A well-integrated structure brings vivacity and length. Drink now through 2020. 109 cases imported.|–BS|LIME,VANILLA,MINERAL,WELL-STRUCTURED,BALANCE,BEAUTY,LAYERS,LENGTH,RICH,WELL-INTEGRATED,|26|Germany|Germany|Feb 28, 2007
JOH. JOS. CHRISTOFFEL ERBEN Riesling Auslese*** Mosel-Saar-Ruwer Ürziger Würzgarten|2005|96|Elegant, with terrific intensity and a bright structure defining the baked apple, lime and brown spice notes. Beautifully balanced and persistent, leaving a mouthwatering finish. Drink now through 2030. 38 cases imported.|–BS|BROWN SPICE,EXCELLENT FINISH,LIME,APPLE,WELL-STRUCTURED,BALANCE,BRIGHT,ELEGANT,INTENSITY,PERSISTENT,|44|Germany|Germany|Apr 30, 2007
COLUMBIA CREST Cabernet Sauvignon Columbia Valley Reserve|2005|95|Ripe in flavor, with a vivid array of black currant, blackberry, violet, black tea and black pepper aromas and flavors that zoom through to a long, expressive finish. Shows subtlety in the layers of complex flavor against a refined structure. Tannins are present but nicely contained. Best from 2010 through 2015. 5,000 cases made.|–HS|BLACK CURRANT,BLACK TEA,BLACK PEPPER,EXCELLENT FINISH,VIOLET,TANNINS,WELL-STRUCTURED,COMPLEX,LAYERS,LONG,NICE,RIPE,VIVID,|27|Washington|Washington|Feb 28, 2009
GORMAN Syrah-Cabernet Sauvignon Red Mountain The Evil Twin|2005|95|This is magnificent. Focused and elevated in style and generous with its pepper- and sage-accented blackberry, boysenberry and plum flavors. The balance deftly plays the big flavors against the lithe structure, and the finish just doesn't quit. Best from 2009 through 2017. 250 cases made.|–HS|BLACKBERRY,PLUM,WELL-STRUCTURED,BALANCE,FOCUSED,GENEROUS,STYLE,|55|Washington|Washington|Jun 15, 2008
E. GUIGAL Ermitage White Ex Voto|2005|97|This shows stunning purity and range of flavors, with blanched almond, chamomile, green fig, persimmon and apricot notes all weaving around a core of heather honey and brioche. The long finish resonates with minerality. Best from 2010 through 2025. 500 cases made.|–JM|GREEN FIG,LONG FINISH,APRICOT,ALMOND,HONEY,MINERAL,BRIOCHE,PURITY,STUNNING,|200|France|Northern Rhône|Dec 31, 2008
CHÂTEAU HAUT-BRION Pessac-Léognan White|2005|100|Vibrant and exciting, with intense aromas of light toasty oak, pineapple skin, lemon, gooseberry, acacia honey and peach tart. Flowers even. Full-bodied, layered and refined, with tropical fruit, honey, vanilla, cream and light toasty oak. The length is amazing. White wine doesn't get better than this. Needs a little time, but hard to leave it alone. Best after 2014. 665 cases made.|–JS|TOASTY OAK,LEMON,PEACH,FRUIT,HONEY,OAK,VANILLA,TOASTY,FULL-BODIED,LIGHT-BODIED,WHITE,INTENSE,VIBRANT,|510|France|Bordeaux|Mar 31, 2008
TREVOR JONES Shiraz Barossa Wild Witch Dry Grown Reserve|2005|95|Smooth, polished, ripe and generous with its cherry, plum, currant and spice flavors, which linger on the plump, buffed finish. Seamless and seductive, this has years to go. Best from 2012 through 2020. 250 cases made.|–HS|CURRANT,CHERRY,SPICE,GENEROUS,LINGER,POLISHED,SEAMLESS,SMOOTH,|70|Australia|Australia|Sep 30, 2009
CHÂTEAU LAVILLE HAUT-BRION Pessac-Léognan White|2005|95|Shows mineral, flint, green apple skin and citrus fruit on the nose. Very intense and focused. Racy. Has a powerful, full-bodied palate, with a thick, layered structure, fabulous acidity and subtle ripe fruit. Very long and present, yet tight and reserved. Needs time. Best after 2014. 665 cases made.|–JS|GREEN APPLE,CITRUS,FRUIT,MINERAL,FULL-BODIED,WELL-STRUCTURED,ACIDITY,FOCUSED,INTENSE,LAYERS,LONG,POWER,RIPE,TIGHT,|355|France|Bordeaux|Mar 31, 2008
DR. LOOSEN Riesling Auslese Mosel-Saar-Ruwer Ürziger Würzgarten|2005|95|A gentle white, whose Golden Delicious apple, peach and citrus flavors gather intensity as the acidity emerges toward the finish. Balanced. Needs time to integrate. Best from 2009 through 2025. 200 cases imported.|–BS|CITRUS,APPLE,WHITE,ACIDITY,BALANCE,DELICIOUS,INTENSITY,|40|Germany|Germany|Apr 30, 2007
DR. LOOSEN Riesling Beerenauslese Long Gold Cap Mosel-Saar-Ruwer Ürziger Würzgarten|2005|96|An ethereal quality makes this beerenauslese float across the palate, belying its sweetness. Rich and vibrant, this tastes of candied and dried berries and citrus. Amazing presence on such a light-weight frame, gliding to a long finish. Drink now through 2035. 100 cases imported.|–BS|LONG FINISH,CITRUS,PRESENCE,RICH,SWEET,|110|Germany|Germany|Apr 30, 2007
DR. LOOSEN Riesling Auslese Mosel-Saar-Ruwer Wehlener Sonnenuhr|2005|95|This light-weight, intensely flavored Riesling shows fine crunch and snap thanks to the acidity, which creates a foil for the peach, lime and vanilla custard flavors that are woven into the creamy texture. Drink now through 2025. 100 cases imported.|–BS|LIME,PEACH,CREAM,ACIDITY,FINE,|40|Germany|Germany|Apr 30, 2007
DR. LOOSEN Riesling Auslese Gold Cap Mosel-Saar-Ruwer Ürziger Würzgarten|2005|95|Marked acidity provides lift for the apricot, cream and lime notes in this deftly balanced Riesling, with mineral lurking in the background. Beautifully integrated and long. Drink now through 2030. 50 cases imported.|–BS|LIME,APRICOT,MINERAL,ACIDITY,BALANCE,BEAUTY,LIFT,LONG,|36|Germany|Germany|May 31, 2007
MARKUS MOLITOR (HAUS KLOSTERBERG) Riesling Trockenbeerenauslese* Mosel-Saar-Ruwer Wehlener Klosterberg|2005|99|Like walking into a fermenting room. Thick and syrupy, with an earth and mineral component that is lacking in the BAs. Honey, apricot, lime and spice notes converge, all supported by a vibrant structure. Starts out heavy, yet melts like cotton candy on the graceful finish, with an aftertaste of pressed apples. Drink now through 2050. 50 cases made.|–BS|EXCELLENT FINISH,LIME,APRICOT,HONEY,MINERAL,WELL-STRUCTURED,VIBRANT,|250|Germany|Germany|Apr 30, 2007
CHÂTEAU PAPE CLÉMENT Pessac-Léognan White|2005|95|Offers lemon peel, with hints of lime and cut wood. Fennel even. Full-bodied, with wonderful fruit and vanilla, cream, apple tart and honey flavors. Unfolds on the palate. Needs lots of age, but who can wait? Best after 2010. 750 cases made.|–JS|LEMON PEEL,LIME,APPLE,FRUIT,HONEY,VANILLA,FULL-BODIED,WONDERFUL,|186|France|Bordeaux|Mar 31, 2008
DR. PAULY-BERGWEILER Riesling Auslese Mosel-Saar-Ruwer Wehlener Sonnenuhr|2005|96|This is a notch up in concentration, combining apricot, lime and vanilla flavors with honey and spice from botrytis. So rich, like apples simmered in brown sugar and cinnamon, yet there's a submerged structure that makes itself known on the finish. Best from 2009 through 2030. 300 cases made.|–BS|LIME,APRICOT,HONEY,CINNAMON,SPICE,WELL-STRUCTURED,RICH,|37|Germany|Germany|Apr 30, 2007
JOH. JOS. PRÜM Riesling Spätlese Mosel-Saar-Ruwer Wehlener Sonnenuhr|2005|95|Aromas of lilac and hot slate after a rain segue into vivid peach and lime flavors. Has great definition and grace, with resonant energy and something in reserve. Lovely, silky texture. The fine, mineral aftertaste shows its ultimate potential. Best from 2008 through 2025. 1,200 cases made.|–BS|LIME,PEACH,MINERAL,MINERAL,LILAC,FINE,GRACE,LOVELY,POTENTIAL,TEXTURE,VIVID,|40|Germany|Germany|Feb 28, 2007
JOH. JOS. PRÜM Riesling Auslese Gold Cap Mosel-Saar-Ruwer Wehlener Sonnenuhr|2005|98|Silky, harmonious and refined, with apricot, apple, lime and mineral aromas and flavors matched to a light-weight frame. Balanced, with its hidden structure evident in the tanginess on the finish and the long, lingering aftertaste of baked apple. Puts it all together. Best from 2009 through 2030. 550 cases made.|–BS|LONG FINISH,LIME,APPLE,APRICOT,WELL-STRUCTURED,BALANCE,HARMONY,LONG,SILKY,|89|Germany|Germany|Apr 30, 2007
JOH. JOS. PRÜM Riesling Auslese Mosel-Saar-Ruwer Wehlener Sonnenuhr|2005|97|Peach, lime and floral aromas and flavors are highlighted by a golden apple tone in this pure, focused Riesling, with a juicy, lime- and mineral-tinged aftertaste. Has great definition, based on the vibrant structure and precision balance. Best from 2009 through 2030. 1,200 cases made.|–BS|LIME,APPLE,PEACH,WELL-STRUCTURED,BALANCE,FOCUSED,JUICY,PURE,VIBRANT,|45|Germany|Germany|Apr 30, 2007
OWEN ROE Cabernet Sauvignon Yakima Valley DuBrul Vineyard|2005|95|Rich, ripe, supple and distinctive for the green olive and savory, tarry notes swirling around the generous core of black cherry, black currant and licorice flavors. A big wine that caresses. Drink now through 2017. 498 cases made.|–HS|BLACK CURRANT,BLACK CHERRY,GREEN OLIVE,TAR,DISTINCTIVE,GENEROUS,RICH,SAVORY,SUPPLE,|60|Washington|Washington|Jun 15, 2008
PRINZ ZU SALM-DALBERG Riesling Trockenbeerenauslese Nahe Schloss Wallhausen Wallhäuser Johannisberg|2005|99|Fine depth and spicy, earthy botrytis notes lead off in this syrupy TBA. Dried apricot, lemon, orange peel and beeswax flavors persist from start to finish. Backed by a vibrant structure, lingering on the long, smoky aftertaste. Drink now through 2050. 12 cases made.|–BS|ORANGE PEEL,LEMON,APRICOT,SMOKE,EARTHY,SPICE,WELL-STRUCTURED,DEPTH,FINE,LONG,VIBRANT,|777|Germany|Germany|Apr 30, 2007
PRINZ ZU SALM-DALBERG Riesling Trockenbeerenauslese Nahe Schloss Wallhausen Wallhäuser Felseneck|2005|98|Intense and pure, with both fresh and dried fruit flavors under a spicy botrytis character. Great clarity highlights the apricot, orange peel, honey and mineral flavors. Gets support from the firm structure, and the smoky, stony finish lingers on and on. Best from 2009 through 2050. 12 cases made.|–BS|ORANGE PEEL,LONG FINISH,APRICOT,FRUIT,SMOKE,MINERAL,SPICE,WELL-STRUCTURED,CHARACTER,FIRM,FRESH,INTENSE,PURE,|801|Germany|Germany|Apr 30, 2007
BERT SIMON (HERRENBERG) Riesling Auslese Mosel-Saar-Ruwer Serrig Würtzberg|2005|96|This is special, showing distinctive black currant and mineral aromas and flavors, with accents of citrus and flowers. Not very concentrated, yet the flavors are intense, with a long, expansive finish. The black currant theme prevails. Drink now through 2028. 200 cases made.|–BS|BLACK CURRANT,BLACK CURRANT,EXCELLENT FINISH,CITRUS,MINERAL,CONCENTRATED,ACCENTS,DISTINCTIVE,INTENSE,LONG,|40|Germany|Germany|Apr 30, 2007
CHÂTEAU SMITH-HAUT-LAFITTE Pessac-Léognan White|2005|96|Honey, apple tart, light toffee, cream and piecrust. Very complex and full-bodied, with lively acidity and beautiful clove honey, red apple and lemon flavors. Long, balanced and very lively. A massive white. Layered and beautiful. Made to age, but who can wait to drink this? Best after 2010. 3,000 cases made.|–JS|ACIDITY,LEMON,APPLE,HONEY,TOFFEE,FULL-BODIED,RED,WHITE,BALANCE,BEAUTY,COMPLEX,LIVELY,LONG,|83|France|Bordeaux|Mar 31, 2008
J. WEGELER ERBEN Riesling Beerenauslese Mosel-Saar-Ruwer Berncasteler Doctor|2005|98|Thick and intense, with a purity to the apricot, orange peel and honey aromas and flavors. There's a cleansing acidity that keeps it all balanced and graceful, with a fine, elegant finish. Drink now through 2040. 2 cases imported.|–BS|ORANGE PEEL,APRICOT,ACIDITY,BALANCE,ELEGANT,FINE,GRACE,INTENSE,PURITY,|165|Germany|Germany|Apr 30, 2007
J. WEGELER ERBEN Riesling Beerenauslese Rheingau Geisenheimer Rothenberg 230°|2005|98|Intense and viscous, offering dried apricot and spice notes, then a candied citrus and berry layer takes over, finally ending with a honeyed aftertaste. Despite its sweetness, this has a vibrant structure and finishes cleanly. Best from 2010 through 2040. 4 cases imported.|–BS|CITRUS,BERRY,APRICOT,SPICE,WELL-STRUCTURED,INTENSE,SWEET,VIBRANT,|145|Germany|Germany|Apr 30, 2007
